catalog_id,catalog_name,organization,dataset_name,dataset_title,dataset_url,license,resource_id,resource_name,format,size,themes,kind,match,url
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,都市計画データ標準製品仕様書,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001758688.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,都市計画データ標準製品仕様書 解説書,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001748721.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,拡張製品仕様書テンプレート,ZIP,,都市施設,archive,scraped,https://www.mlit.go.jp/toshi/city_plan/content/template_1.2.zip
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,都市計画情報のデジタル化・オープン化ガイダンス,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001618095.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,都市計画情報のデジタル化・オープン化ガイダンス　資料編,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001622452.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,都道府県・政令指定都市宛て通知（令和5年3月1日付け 国都計第184号、国都政第212号),PDF,,都市施設,document,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001589725.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,【参考資料】改正個人情報保護法への対応について（令和５年3月27日更新）,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001597132.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,利用・提供の観点を踏まえた都市計画基礎調査実施要領及び都市計画基礎調査情報の利用・提供ガイドラインに係る技術資料（第２版）,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001407083.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,別表２．都道府県別の建物利用現況・土地利用現況対照表（令和4年4月調査時点版）,PDF,,土地利用|建物|都市施設,document,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001478861.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,都市計画基礎調査情報のオープン化に向けた,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/common/001281671.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,都市計画基礎調査情報の利用・提供ガイドライン（平成31年3月 国土交通省都市局）,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/common/001282175.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,利用・提供の観点を踏まえた都市計画基礎調査実施要領及び都市計画基礎調査情報の利用・提供ガイドラインに係る技術資料,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/common/001282177.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,都市計画基礎調査情報の利活用を始めよう　～都市計画基礎調査情報を利活用するデータ分析の手順の例～,PDF,,都市施設,document,scraped,https://www.mlit.go.jp/common/001282180.pdf
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,用途別土地利用面積,CSV,,土地利用|都市施設,tabular,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001406885.csv
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,建物用途（棟数、建築面積、延床面積）,CSV,,建物|都市施設,tabular,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001406886.csv
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,階数（地下、地上）,CSV,,建物|都市施設,tabular,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001406887.csv
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,構造,CSV,,建物|都市施設,tabular,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001406888.csv
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,建築面積,CSV,,建物|都市施設,tabular,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001406889.csv
mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,全国,mlit-kisochosa,国土交通省 都市計画基礎調査情報のオープン化,https://www.mlit.go.jp/toshi/city_plan/toshi_city_plan_tk_000049.html,出典明示（国土交通省）,,延床面積,CSV,,建物|都市施設,tabular,scraped,https://www.mlit.go.jp/toshi/city_plan/content/001406890.csv
